Id,Title,Company,Location,Summary
https://kr.indeed.com/viewjob?jk=d25de9b19acc9f56 ,"Mendix Sales Director, South Korea",Siemens Industry Software Ltd.,서울,"impact... world. So, if you aim high and think long term…you belong here. We innovate. We want... what happens next..."
https://kr.indeed.com/viewjob?jk=8a6f4d217e903742 ,Korea HRBP,KidsLoop,서울,"life balance, autonomous workplace Annual incentive + Long term incentive 15 days of annual leaves + Birthday leave Various..."
https://kr.indeed.com/viewjob?jk=a39a0db2e06d27f6 ,Technical Director,ASM,대한민국,strategic and policy development aspects... have medium term consequences... operation... function and perhaps...
https://kr.indeed.com/viewjob?jk=a2931115ac4ebf8c ,KR_HP_Head of Regulatory Affairs,Boehringer Ingelheim,대한민국,"animals... family owned company, we focus on long- term performance. We believe... we have talented and ambitious..."
https://kr.indeed.com/viewjob?jk=3abf64164bb5734d ,Business Manager,Cepheid,서울,"clinics, college and university student health centers, long term care facilities, STD clinics, urgent care/walk-in clinics..."
https://kr.indeed.com/viewjob?jk=134f1b525a884a4e ,"Specialist, Relationship Management - As...",BNY Mellon,서울,"client, advising... best way to achieve short- and long- term strategic objectives. From a global, bank-wide perspective..."
https://kr.indeed.com/viewjob?jk=3766c0f8acc3f7d8 ,"Victim Advocate, FASS",Magellan Health,대한민국,offending caregivers about the dynamics and possible long- term consequences of child abuse Assess family needs and encourage...
https://kr.indeed.com/viewjob?jk=879e8c5b68e7aff1 ,Product Manager - Engine Oil Additives,Lubrizol Corporation,서울,"growth. Develop, and implement both long- term and short- term product line strategies to ensure that products within..."
https://kr.indeed.com/viewjob?jk=19c2aecc93b3d299 ,Maintenance Engineer (E&I),INEOS Styrolution,대한민국,Review annual shutdown maintenance work plan including 4yr long- term shutdown Perform immediate action for unplanned shutdown...
https://kr.indeed.com/viewjob?jk=68251e47657cb9df ,2021 Call for IBS Young Scientist Fellow...,Institute for Basic Science,대한민국,"research participation in principle. * During the Fellowship term, secondment, joint employment and applying for projects..."
https://kr.indeed.com/viewjob?jk=1d2472440df33e7b ,Tech Business Development Associate,펍지,서울 서초구,"선정 프로세스 지원 파트너쉽 관련 협의/계약 협상 지원 - 당사의 협상력을 높이고 파트너사와 건강한 long- term relationship을 구축할 수 있도록, BD Manager를 지원하여 계약 체결 프로세스 지원 [지원..."
https://kr.indeed.com/viewjob?jk=12c1880eea103442 ,Korean Business Development Manager for...,Yodo1,서울,you great... just closing sales but building long- term client relationships... job... you. *About us...
https://kr.indeed.com/viewjob?jk=1dab8f1b7f3f0a3b ,"Regional Marketing Director, Immuno Derm...",Johnson & Johnson Family of Companies,대한민국,"Pacific customers, as well as guide the short to mid- term commercial strategy for our inline portfolio... require you..."
https://kr.indeed.com/viewjob?jk=5a69760c054926df ,블록체인 개발자 (Dapp)를 찾습니다!,주식회사 핀스프로토콜,서울,talented people who are interested in our Defi's long- term growth. Official Page: https... pynths.com Medium: https...
https://kr.indeed.com/viewjob?jk=61c208177a2c14de ,Senior Operations Manager - Korea,StockX,서울,business teams... develop short- and long- term growth strategies. What you will do Establish team member...
https://kr.indeed.com/viewjob?jk=a3e74aa5a8da761a ,Clinical Research - Translator (Pipeline...,IQVIA,서울,"input. You... part of a global team with exciting long- term career opportunities. So, if you have an entrepreneurial..."
